ID,Time_GMT,Phone,Organization,OLF,Rating,NumberReview,Category,Country,CountryCode,State,City,Street,Building,ReviewText
1,01/01/2021 00:13,12562343500.0,The Station's Best,LLC,4.0,4,Casual Dining,USA,US,AL,Alexander City, Jefferson,977,Really enjoyed The Station's Best. Lovely decor. Highly recommend!
2,01/01/2021 03:13,12566758004.0,Pizza Hut,Co,3.0,6,Casual Dining,USA,US,AL,Alexander City, 4581 Hwy,4581,Average experience at Pizza Hut. The dish was okay. Average staff. Nothing to write home about.
3,01/01/2021 06:55,12562342181.0,Zaxby's Chicken Fingers & Buffalo Wings,Inc,3.0,13,Sports Bar,USA,US,AL,Alexander City, 4497 Highway,4497,Standard Zaxby's Chicken Fingers & Buffalo Wings. Service was okay. The food was okay. It's okay.
4,01/01/2021 10:37,12564097272.0,Papa John's Pizza,Corp,1.0,1,Italian,USA,US,AL,Alexander City, 2064 Cherokee,2064,Waste of money at Papa John's Pizza. Overpriced risotto.
5,01/01/2021 14:25,12562155510.0,Arby's,LLC,2.0,7,Fast Food,USA,US,AL,Alexander City, 2593 Hwy,2593,Waste of money at Arby's. Inedible combo meal. Rude staff. Never coming back!
6,01/01/2021 17:31,12562343500.0,The Station's Best,LLC,4.0,4,Family Dining,USA,US,AL,Alexander City, Jefferson,977,Had a wonderful time at The Station's Best. Professional staff. Highly recommend!
7,01/01/2021 21:21,12566758004.0,Pizza Hut,Co,3.0,6,Casual Dining,USA,US,AL,Alexander City, 4581 Hwy,4581,Average experience at Pizza Hut. The meal was okay. Nothing remarkable about service. Average place.
8,01/02/2021 00:16,12562342181.0,Zaxby's Chicken Fingers & Buffalo Wings,Inc,3.0,13,Wings,USA,US,AL,Alexander City, 4497 Highway,4497,Average experience at Zaxby's Chicken Fingers & Buffalo Wings. The wings was okay. Service was okay. Nothing to write home about.
9,01/02/2021 03:58,12564097272.0,Papa John's Pizza,Corp,1.0,1,Delivery,USA,US,AL,Alexander City, 2064 Cherokee,2064,Disappointed with Papa John's Pizza. Unprofessional behavior. Avoid this place!
10,01/02/2021 07:07,12562155510.0,Arby's,LLC,2.0,7,Quick Service,USA,US,AL,Alexander City, 2593 Hwy,2593,Disappointed with Arby's. Awful dish. Never coming back!
11,01/02/2021 10:34,13342221398.0,Happy Kitchen,Inc,3.5,11,Casual Dining,USA,US,AL,Andalusia, 700 Western Gate,700,Mixed feelings about Happy Kitchen. Nothing remarkable about service. Nothing special about ambiance. Might try again.
12,01/02/2021 15:04,13344271400.0,Ophelia's Italian Restaurant,Corp,3.5,30,Delivery,USA,US,AL,Andalusia, River Falls,401,Standard Ophelia's Italian Restaurant. Service was okay. Standard dish.
13,01/02/2021 17:52,13342224106.0,Pizza Hut,Co,1.5,3,Casual Dining,USA,US,AL,Andalusia, 1203 Dr Martin Luther King Jr,1203,Terrible visit to Pizza Hut. Poor customer service. meal was cold and tasteless. One star only!
